fragment_id,behavior_id
0,18
1,3
2,1
3,6
4,18
5,12
6,12
7,0
8,2
9,2
10,8
11,6
12,2
13,1
14,5
15,2
16,1
17,18
18,16
19,0
20,15
21,6
22,15
23,6
24,18
25,6
26,8
27,6
28,0
29,8
30,4
31,2
32,12
33,18
34,6
35,10
36,13
37,12
38,8
39,1
40,12
41,12
42,4
43,15
44,17
45,16
46,17
47,6
48,11
49,1
50,16
51,5
52,3
53,6
54,6
55,12
56,15
57,4
58,18
59,12
60,0
61,16
62,3
63,11
64,12
65,18
66,12
67,6
68,12
69,7
70,12
71,1
72,5
73,13
74,9
75,13
76,6
77,1
78,17
79,6
80,2
81,18
82,11
83,2
84,6
85,11
86,18
87,8
88,8
89,0
90,12
91,9
92,1
93,12
94,5
95,4
96,17
97,8
98,1
99,15
100,9
101,16
102,16
103,12
104,3
105,9
106,6
107,8
108,1
109,1
110,2
111,6
112,13
113,10
114,13
115,6
116,18
117,1
118,15
119,6
120,4
121,15
122,6
123,12
124,15
125,18
126,12
127,12
128,12
129,6
130,6
131,16
132,3
133,2
134,4
135,15
136,14
137,18
138,9
139,6
140,4
141,16
142,6
143,8
144,6
145,11
146,5
147,6
148,11
149,1
150,1
151,3
152,5
153,1
154,7
155,6
156,12
157,18
158,18
159,6
160,16
161,15
162,6
163,9
164,16
165,5
166,10
167,12
168,12
169,6
170,1
171,11
172,2
173,9
174,0
175,4
176,7
177,18
178,16
179,6
180,8
181,4
182,12
183,6
184,4
185,1
186,8
187,0
188,18
189,12
190,18
191,12
192,4
193,4
194,1
195,12
196,0
197,4
198,5
199,6
200,1
201,8
202,1
203,9
204,12
205,16
206,6
207,8
208,1
209,11
210,2
211,12
212,2
213,2
214,6
215,12
216,1
217,4
218,16
219,2
220,8
221,4
222,6
223,13
224,5
225,10
226,10
227,6
228,15
229,12
230,9
231,8
232,5
233,5
234,16
235,15
236,4
237,1
238,6
239,2
240,1
241,13
242,6
243,2
244,11
245,0
246,6
247,4
248,0
249,5
250,12
251,12
252,1
253,4
254,16
255,4
256,18
257,6
258,7
259,11
260,8
261,10
262,6
263,13
264,18
265,6
266,1
267,8
268,5
269,8
270,11
271,6
272,12
273,9
274,2
275,17
276,13
277,1
278,0
279,2
280,6
281,15
282,10
283,3
284,13
285,2
286,1
287,2
288,12
289,11
290,1
291,3
292,12
293,6
294,10
295,0
296,12
297,5
298,16
299,6
300,18
301,2
302,12
303,1
304,15
305,2
306,7
307,16
308,2
309,6
310,16
311,5
312,4
313,6
314,15
315,4
316,11
317,5
318,18
319,12
320,12
321,15
322,6
323,5
324,12
325,12
326,12
327,11
328,6
329,4
330,1
331,6
332,5
333,1
334,4
335,13
336,4
337,11
338,1
339,9
340,5
341,1
342,2
343,1
344,16
345,12
346,12
347,16
348,8
349,5
350,11
351,18
352,4
353,16
354,16
355,6
356,5
357,4
358,15
359,6
360,15
361,12
362,6
363,11
364,15
365,15
366,15
367,12
368,6
369,3
370,11
371,8
372,15
373,4
374,17
375,2
376,2
377,8
378,0
379,0
380,18
381,1
382,6
383,6
384,1
385,12
386,12
387,1
388,12
389,4
390,0
391,6
392,12
393,1
394,1
395,6
396,12
397,1
398,13
399,13
400,2
401,12
402,0
403,6
404,15
405,6
406,12
407,16
408,15
409,12
410,1
411,7
412,15
413,6
414,18
415,11
416,6
417,3
418,7
419,1
420,1
421,0
422,18
423,12
424,5
425,13
426,2
427,1
428,12
429,5
430,9
431,5
432,8
433,12
434,18
435,0
436,2
437,6
438,11
439,6
440,5
441,6
442,6
443,4
444,5
445,1
446,11
447,10
448,6
449,6
450,18
451,4
452,6
453,12
454,16
455,16
456,12
457,11
458,12
459,10
460,10
461,7
462,12
463,6
464,6
465,5
466,13
467,12
468,6
469,11
470,6
471,4
472,4
473,0
474,12
475,4
476,5
477,0
478,18
479,4
480,1
481,11
482,11
483,6
484,16
485,3
486,12
487,2
488,2
489,12
490,7
491,11
492,2
493,1
494,10
495,16
496,2
497,12
498,0
499,5
500,4
501,10
502,15
503,12
504,10
505,2
506,2
507,12
508,6
509,2
510,7
511,12
512,3
513,8
514,12
515,8
516,11
517,13
518,6
519,1
520,15
521,12
522,4
523,1
524,13
525,1
526,7
527,4
528,0
529,15
530,3
531,11
532,11
533,7
534,12
535,3
536,2
537,11
538,0
539,1
540,11
541,3
542,10
543,16
544,18
545,6
546,16
