fragment_id,behavior_id
0,12
1,3
2,6
3,6
4,13
5,12
6,12
7,1
8,2
9,8
10,8
11,6
12,2
13,10
14,5
15,2
16,6
17,4
18,16
19,15
20,15
21,9
22,6
23,6
24,11
25,6
26,8
27,3
28,12
29,2
30,10
31,2
32,12
33,12
34,5
35,15
36,13
37,12
38,2
39,1
40,12
41,12
42,15
43,1
44,5
45,16
46,17
47,6
48,11
49,6
50,16
51,5
52,3
53,1
54,6
55,12
56,15
57,4
58,13
59,12
60,10
61,16
62,3
63,18
64,6
65,18
66,12
67,0
68,12
69,7
70,12
71,1
72,5
73,13
74,6
75,12
76,6
77,6
78,17
79,9
80,2
81,18
82,1
83,5
84,3
85,11
86,13
87,16
88,17
89,0
90,16
91,6
92,1
93,12
94,2
95,11
96,17
97,8
98,0
99,1
100,9
101,16
102,16
103,12
104,1
105,1
106,4
107,8
108,6
109,11
110,1
111,6
112,12
113,3
114,13
115,6
116,18
117,6
118,13
119,3
120,4
121,15
122,6
123,12
124,15
125,4
126,12
127,12
128,12
129,6
130,6
131,16
132,3
133,2
134,4
135,15
136,14
137,18
138,6
139,1
140,4
141,16
142,1
143,8
144,6
145,11
146,15
147,6
148,18
149,3
150,6
151,3
152,5
153,6
154,8
155,6
156,12
157,18
158,18
159,1
160,16
161,11
162,6
163,1
164,16
165,6
166,6
167,12
168,12
169,11
170,11
171,11
172,7
173,9
174,0
175,4
176,6
177,11
178,16
179,9
180,15
181,15
182,12
183,9
184,4
185,1
186,8
187,0
188,15
189,12
190,12
191,12
192,12
193,4
194,1
195,12
196,0
197,4
198,5
199,6
200,6
201,8
202,11
203,6
204,0
205,15
206,6
207,16
208,6
209,11
210,2
211,12
212,8
213,5
214,6
215,12
216,1
217,15
218,6
219,2
220,8
221,12
222,9
223,12
224,5
225,10
226,10
227,6
228,12
229,12
230,9
231,2
232,3
233,1
234,16
235,15
236,4
237,6
238,6
239,2
240,6
241,12
242,11
243,2
244,11
245,1
246,6
247,4
248,0
249,5
250,12
251,12
252,3
253,4
254,16
255,4
256,18
257,9
258,6
259,11
260,8
261,6
262,6
263,13
264,12
265,6
266,1
267,8
268,8
269,8
270,5
271,6
272,12
273,6
274,2
275,4
276,13
277,6
278,0
279,4
280,1
281,15
282,10
283,1
284,6
285,2
286,6
287,5
288,12
289,11
290,1
291,3
292,14
293,1
294,9
295,0
296,13
297,15
298,16
299,6
300,0
301,5
302,14
303,6
304,12
305,4
306,7
307,16
308,2
309,11
310,13
311,5
312,6
313,10
314,15
315,4
316,11
317,3
318,4
319,12
320,12
321,15
322,1
323,17
324,12
325,12
326,12
327,11
328,6
329,4
330,0
331,6
332,5
333,1
334,12
335,12
336,12
337,11
338,8
339,6
340,5
341,1
342,8
343,5
344,16
345,12
346,12
347,16
348,2
349,7
350,3
351,18
352,4
353,16
354,16
355,1
356,5
357,4
358,11
359,6
360,15
361,15
362,6
363,18
364,18
365,15
366,15
367,12
368,1
369,3
370,6
371,1
372,15
373,4
374,7
375,2
376,2
377,5
378,0
379,0
380,12
381,1
382,6
383,6
384,1
385,12
386,17
387,6
388,12
389,18
390,0
391,1
392,12
393,1
394,1
395,1
396,12
397,10
398,4
399,13
400,2
401,12
402,0
403,6
404,15
405,3
406,9
407,16
408,11
409,12
410,1
411,7
412,18
413,3
414,18
415,1
416,3
417,3
418,8
419,5
420,1
421,6
422,4
423,18
424,5
425,13
426,5
427,6
428,10
429,5
430,15
431,5
432,16
433,12
434,4
435,0
436,8
437,1
438,11
439,6
440,5
441,12
442,6
443,18
444,5
445,1
446,11
447,12
448,6
449,6
450,18
451,4
452,11
453,12
454,16
455,16
456,12
457,11
458,12
459,15
460,10
461,7
462,12
463,0
464,6
465,6
466,18
467,16
468,1
469,1
470,12
471,15
472,4
473,0
474,12
475,4
476,5
477,0
478,12
479,4
480,1
481,11
482,11
483,7
484,16
485,3
486,12
487,5
488,2
489,12
490,7
491,11
492,2
493,6
494,0
495,16
496,2
497,15
498,0
499,5
500,4
501,15
502,4
503,12
504,10
505,2
506,2
507,12
508,12
509,2
510,6
511,12
512,6
513,5
514,15
515,2
516,5
517,12
518,6
519,1
520,15
521,12
522,18
523,0
524,13
525,1
526,6
527,4
528,0
529,15
530,1
531,11
532,11
533,5
534,12
535,0
536,2
537,11
538,0
539,1
540,11
541,3
542,6
543,16
544,18
545,6
546,16
547,16
548,1
549,4
550,4
551,6
552,2
553,6
554,6
555,1
556,2
557,1
558,11
559,12
560,8
561,1
562,8
563,4
564,10
565,15
566,12
567,6
568,4
569,6
570,1
571,12
572,15
573,16
574,6
575,17
576,4
577,0
578,10
579,2
580,11
581,15
582,15
583,15
584,18
585,1
586,6
587,13
588,5
589,15
590,1
591,8
592,4
593,17
594,18
595,11
596,3
597,15
598,8
599,7
600,1
601,1
602,3
603,4
604,5
605,12
606,11
607,11
608,16
609,11
610,5
611,6
612,6
613,3
614,2
615,15
616,8
617,4
618,12
619,4
620,15
621,15
622,6
623,8
624,16
625,8
626,5
627,5
628,9
629,1
630,12
631,11
632,2
633,2
634,6
635,5
636,17
637,2
638,5
639,15
640,11
641,8
642,11
643,5
644,12
645,6
646,9
647,4
648,0
649,7
650,13
651,0
652,6
653,4
654,1
655,8
656,6
657,12
658,14
659,12
660,12
661,5
662,12
663,14
664,1
665,8
666,1
667,1
668,6
669,6
670,12
671,15
672,6
673,8
674,6
675,1
676,0
677,15
678,11
679,1
680,0
681,12
682,12
683,9
684,8
685,15
686,7
687,13
688,1
689,16
690,18
691,6
692,0
693,10
694,5
695,15
696,11
697,4
698,16
699,4
700,12
701,2
702,13
703,17
704,12
705,8
706,12
707,6
708,3
709,16
710,0
711,12
712,2
713,4
714,16
715,7
716,16
717,6
718,1
719,8
720,5
721,10
722,6
723,18
724,15
725,0
726,12
727,4
728,12
729,9
730,6
731,12
732,15
733,1
734,1
735,1
736,6
737,12
738,12
739,1
740,16
741,6
742,1
743,12
744,1
745,10
746,4
747,8
748,6
749,12
750,12
751,9
752,6
753,8
754,2
755,6
756,8
757,1
758,6
759,8
760,5
761,12
762,7
763,9
764,6
765,0
766,12
767,12
768,11
769,5
770,4
771,18
772,9
773,6
774,6
775,12
776,12
777,4
778,12
779,15
780,4
781,1
782,13
783,8
784,16
785,13
786,12
787,2
788,9
789,13
790,1
791,6
792,11
793,12
794,3
795,4
796,10
797,6
798,15
799,13
800,5
801,10
802,7
803,6
804,5
805,18
806,9
807,15
808,1
809,6
810,11
811,13
812,12
813,2
814,1
815,11
816,1
817,5
818,16
819,7
820,15
821,6
822,6
823,15
824,3
825,15
826,5
827,12
828,4
829,3
830,10
831,7
832,18
833,16
834,2
835,16
836,0
837,12
838,8
839,2
840,0
841,2
842,11
843,2
844,12
845,1
846,10
847,11
848,1
849,3
850,14
851,16
852,4
853,12
854,11
855,3
856,18
857,11
858,1
859,9
860,0
861,15
862,12
863,7
864,12
865,2
866,13
867,3
868,16
869,1
870,12
871,7
872,1
873,9
874,12
875,1
876,12
877,11
878,5
879,0
880,6
881,15
882,15
883,5
884,0
885,1
886,1
887,2
888,11
889,8
890,13
891,11
892,0
893,16
894,13
895,0
896,5
897,11
898,11
899,5
900,16
901,2
902,4
903,6
904,2
905,15
906,12
907,0
908,12
909,11
910,16
911,11
912,16
913,6
914,8
915,4
916,0
917,4
918,18
919,6
920,16
921,6
922,1
923,11
924,16
925,2
926,12
927,6
928,0
929,6
930,16
931,7
932,11
933,4
934,0
935,11
936,9
937,8
938,3
939,0
940,4
941,16
942,12
943,12
944,1
945,12
946,6
947,3
948,11
949,6
950,1
951,13
952,10
953,0
954,12
955,6
956,4
957,5
958,8
959,1
960,5
961,11
962,6
963,6
964,4
965,1
966,5
967,2
968,2
969,1
970,15
971,6
972,0
973,12
974,6
975,5
976,13
977,2
978,1
979,0
980,13
981,12
982,3
983,6
984,0
985,12
986,12
987,11
988,5
989,0
990,6
991,12
992,0
993,2
994,12
995,6
996,16
997,16
998,18
999,5
1000,4
1001,4
1002,1
1003,12
1004,5
1005,9
1006,15
1007,6
1008,7
1009,9
1010,18
1011,1
1012,6
1013,8
1014,6
1015,4
1016,4
1017,6
1018,12
1019,8
1020,5
1021,8
1022,6
1023,13
1024,1
1025,6
1026,15
1027,7
1028,15
1029,4
1030,12
1031,3
1032,12
1033,8
1034,9
1035,12
1036,2
1037,12
1038,5
1039,9
1040,12
1041,1
1042,6
1043,2
1044,11
1045,6
1046,6
1047,3
1048,17
1049,12
1050,12
1051,12
1052,8
1053,10
1054,2
1055,8
1056,10
1057,1
1058,12
1059,1
1060,1
1061,16
1062,2
1063,16
1064,4
1065,12
1066,16
1067,12
1068,12
1069,5
1070,4
1071,1
1072,16
1073,16
1074,10
1075,4
1076,13
1077,1
1078,4
1079,5
1080,6
1081,12
1082,14
1083,12
1084,1
1085,11
1086,8
1087,12
1088,15
1089,1
1090,6
1091,15
1092,2
1093,13
1094,6
1095,6
1096,12
1097,10
1098,2
1099,14
1100,17
1101,12
1102,18
1103,2
1104,6
1105,6
1106,11
1107,1
1108,6
1109,7
1110,8
1111,1
1112,4
1113,15
1114,12
1115,1
1116,13
1117,2
1118,18
1119,3
1120,5
1121,1
1122,8
1123,15
1124,11
1125,12
1126,17
1127,3
1128,12
1129,12
1130,5
1131,3
1132,6
1133,6
1134,7
1135,12
1136,12
1137,4
1138,16
1139,12
1140,12
1141,15
1142,0
1143,9
1144,12
1145,6
1146,10
1147,5
1148,8
1149,12
1150,6
1151,16
1152,12
1153,1
1154,4
1155,11
1156,0
1157,1
1158,15
1159,16
1160,9
1161,0
1162,8
1163,15
1164,4
1165,7
1166,12
1167,16
1168,7
1169,2
1170,9
1171,15
1172,15
1173,6
1174,2
1175,8
1176,5
1177,13
1178,4
1179,1
1180,18
1181,3
1182,12
1183,8
1184,4
1185,0
1186,12
1187,11
1188,6
1189,18
1190,12
1191,10
1192,12
1193,13
1194,0
1195,1
1196,2
1197,6
1198,6
1199,18
1200,15
1201,12
1202,12
1203,15
1204,8
1205,5
1206,8
1207,5
1208,11
1209,15
1210,4
1211,18
1212,1
1213,1
1214,13
1215,16
1216,12
1217,15
1218,5
1219,4
1220,6
1221,6
1222,1
1223,16
1224,6
1225,3
1226,12
1227,12
1228,12
1229,14
1230,1
1231,6
1232,6
1233,1
1234,12
1235,11
1236,2
1237,8
1238,4
1239,12
1240,13
1241,6
1242,15
1243,6
1244,5
1245,5
1246,9
1247,17
1248,14
1249,18
1250,6
1251,6
1252,9
1253,4
1254,12
1255,15
1256,15
1257,1
1258,7
1259,12
1260,13
1261,14
1262,16
1263,12
1264,12
1265,3
1266,4
1267,5
1268,11
1269,9
1270,17
1271,9
1272,17
1273,16
1274,12
1275,6
1276,4
1277,0
1278,12
1279,1
1280,15
1281,11
1282,16
1283,6
1284,1
1285,1
1286,12
1287,16
1288,2
1289,18
1290,12
1291,12
1292,1
1293,16
1294,2
1295,12
1296,1
1297,0
1298,4
1299,18
1300,16
1301,17
1302,1
1303,0
1304,12
1305,6
1306,16
1307,17
1308,12
1309,15
1310,15
1311,6
1312,9
1313,5
1314,12
1315,16
1316,0
1317,12
1318,1
1319,6
1320,15
1321,12
1322,12
1323,6
1324,12
1325,11
1326,11
1327,7
1328,0
1329,8
1330,8
1331,16
1332,6
1333,9
1334,5
1335,8
1336,8
1337,2
1338,10
1339,18
1340,0
1341,0
1342,8
1343,6
1344,8
1345,6
1346,6
1347,8
1348,6
1349,11
1350,11
1351,1
1352,10
1353,5
1354,15
1355,12
1356,8
1357,5
1358,15
1359,1
1360,0
1361,14
1362,12
1363,4
1364,5
1365,12
1366,12
1367,18
1368,12
1369,12
1370,9
1371,1
1372,2
1373,0
1374,4
1375,16
1376,12
1377,0
1378,0
1379,2
1380,4
1381,15
1382,3
1383,4
1384,12
1385,6
1386,6
1387,1
1388,15
1389,11
1390,6
1391,5
1392,4
1393,15
1394,2
1395,17
1396,12
1397,4
1398,14
1399,6
1400,2
1401,6
1402,6
1403,2
1404,2
1405,10
1406,5
1407,12
1408,12
1409,3
1410,12
1411,6
1412,12
1413,2
1414,4
1415,8
1416,3
1417,12
1418,6
1419,6
1420,0
1421,16
1422,12
1423,5
1424,1
1425,12
1426,7
1427,6
1428,12
1429,10
1430,12
1431,18
1432,4
1433,16
1434,9
1435,6
1436,1
1437,1
1438,4
1439,6
1440,6
1441,15
1442,4
1443,12
1444,4
1445,4
1446,4
1447,6
1448,13
1449,12
1450,2
1451,14
1452,17
1453,15
1454,0
1455,8
1456,15
1457,15
1458,8
1459,12
1460,12
1461,4
1462,1
1463,11
1464,6
1465,12
1466,13
1467,5
1468,3
1469,6
1470,12
1471,12
1472,3
1473,10
1474,12
1475,3
1476,13
1477,16
1478,8
1479,6
1480,6
1481,4
1482,14
1483,5
1484,6
1485,5
1486,15
1487,1
1488,11
1489,0
1490,10
1491,15
1492,18
1493,11
1494,12
1495,15
1496,12
1497,5
1498,6
1499,10
1500,4
1501,7
1502,14
1503,18
1504,0
1505,12
1506,11
1507,8
1508,15
1509,6
1510,6
1511,0
1512,9
1513,17
1514,17
1515,6
1516,5
1517,8
1518,9
1519,0
1520,15
1521,8
1522,1
1523,6
1524,16
1525,13
1526,6
1527,10
1528,17
1529,10
1530,8
1531,18
1532,4
1533,1
1534,10
1535,11
1536,11
1537,14
1538,6
1539,10
1540,6
1541,6
1542,3
1543,6
1544,8
1545,4
1546,5
1547,5
1548,16
1549,4
1550,12
1551,6
1552,10
1553,0
1554,11
1555,12
1556,16
1557,8
1558,12
1559,6
1560,16
1561,11
1562,1
1563,6
1564,15
1565,6
1566,1
1567,12
1568,12
1569,6
1570,0
1571,12
1572,4
1573,18
1574,4
1575,15
1576,15
1577,16
1578,10
1579,15
1580,6
1581,16
1582,11
1583,18
1584,6
1585,6
1586,12
1587,2
1588,11
1589,6
1590,12
1591,4
1592,7
1593,1
1594,2
1595,12
1596,11
1597,13
1598,6
1599,12
1600,12
1601,8
1602,4
1603,12
1604,12
1605,7
1606,1
1607,10
1608,10
1609,2
1610,5
1611,5
1612,12
1613,0
1614,2
1615,6
1616,12
1617,16
1618,6
1619,8
1620,11
1621,18
1622,15
1623,18
1624,12
1625,11
1626,5
1627,8
1628,6
1629,5
1630,12
1631,12
1632,5
1633,2
1634,16
1635,12
1636,6
1637,5
1638,18
1639,6
1640,2
1641,8
1642,8
1643,11
1644,1
1645,13
1646,12
1647,4
1648,16
1649,18
1650,15
1651,2
1652,12
1653,2
1654,4
1655,5
1656,2
1657,11
1658,6
1659,13
1660,14
1661,12
1662,12
1663,15
1664,12
1665,1
1666,6
1667,15
1668,12
1669,4
1670,4
1671,1
1672,6
1673,3
1674,4
1675,18
1676,5
1677,11
1678,12
1679,9
1680,9
1681,11
1682,15
1683,3
1684,12
1685,9
1686,1
1687,1
1688,8
1689,6
1690,0
1691,1
1692,2
1693,6
1694,11
1695,12
1696,10
1697,12
1698,1
1699,12
1700,3
1701,8
1702,3
1703,4
1704,0
1705,12
1706,12
1707,2
1708,15
1709,2
1710,15
1711,3
1712,17
1713,18
1714,15
1715,5
1716,10
1717,9
1718,1
1719,9
1720,8
1721,4
1722,17
1723,12
1724,12
1725,8
1726,6
1727,1
1728,8
1729,15
1730,10
1731,6
1732,4
1733,12
1734,6
1735,6
1736,18
1737,12
1738,3
1739,4
1740,1
1741,3
1742,6
1743,7
1744,2
1745,1
