fragment_id,behavior_id
0,12
1,3
2,6
3,6
4,13
5,12
6,13
7,6
8,2
9,2
10,8
11,6
12,8
13,6
14,5
15,2
16,3
17,18
18,16
19,15
20,15
21,0
22,10
23,6
24,11
25,6
26,2
27,3
28,6
29,7
30,4
31,2
32,12
33,11
34,11
35,0
36,13
37,15
38,5
39,6
40,12
41,12
42,10
43,1
44,17
45,17
46,17
47,6
48,11
49,6
50,16
51,17
52,3
53,1
54,1
55,12
56,15
57,11
58,12
59,12
60,15
61,16
62,3
63,18
64,1
65,18
66,12
67,0
68,17
69,7
70,12
71,1
72,5
73,14
74,9
75,13
76,6
77,0
78,17
79,9
80,2
81,18
82,11
83,2
84,3
85,11
86,13
87,8
88,8
89,0
90,12
91,6
92,1
93,12
94,2
95,1
96,17
97,8
98,1
99,17
100,9
101,16
102,16
103,13
104,3
105,1
106,4
107,8
108,0
109,1
110,5
111,1
112,18
113,3
114,12
115,6
116,18
117,1
118,15
119,6
120,4
121,15
122,6
123,12
124,15
125,18
126,12
127,13
128,12
129,6
130,6
131,16
132,0
133,2
134,4
135,15
136,14
137,13
138,6
139,5
140,15
141,16
142,1
143,2
144,6
145,11
146,5
147,6
148,11
149,3
150,1
151,3
152,5
153,1
154,7
155,6
156,12
157,18
158,18
159,1
160,17
161,0
162,7
163,1
164,16
165,7
166,6
167,12
168,12
169,11
170,1
171,11
172,7
173,1
174,0
175,4
176,7
177,15
178,16
179,6
180,11
181,4
182,12
183,6
184,4
185,5
186,8
187,0
188,15
189,17
190,12
191,12
192,4
193,18
194,1
195,12
196,0
197,4
198,5
199,6
200,6
201,2
202,6
203,6
204,6
205,17
206,6
207,17
208,5
209,11
210,2
211,12
212,2
213,2
214,6
215,12
216,1
217,4
218,12
219,7
220,8
221,4
222,3
223,18
224,5
225,10
226,15
227,6
228,1
229,12
230,9
231,5
232,5
233,7
234,16
235,15
236,4
237,6
238,11
239,2
240,1
241,4
242,11
243,2
244,11
245,7
246,6
247,4
248,0
249,9
250,12
251,12
252,3
253,10
254,16
255,4
256,18
257,6
258,6
259,6
260,8
261,9
262,1
263,13
264,12
265,6
266,3
267,8
268,7
269,8
270,9
271,6
272,12
273,1
274,2
275,4
276,18
277,1
278,0
279,15
280,1
281,11
282,10
283,3
284,1
285,8
286,17
287,5
288,12
289,11
290,1
291,3
292,14
293,6
294,6
295,0
296,4
297,15
298,16
299,1
300,17
301,5
302,14
303,1
304,10
305,15
306,5
307,16
308,2
309,6
310,13
311,5
312,14
313,10
314,15
315,4
316,11
317,2
318,4
319,14
320,12
321,15
322,1
323,17
324,12
325,13
326,14
327,11
328,1
329,4
330,1
331,3
332,5
333,1
334,12
335,12
336,16
337,11
338,7
339,6
340,5
341,1
342,2
343,5
344,16
345,12
346,12
347,16
348,8
349,7
350,3
351,18
352,4
353,16
354,17
355,1
356,5
357,18
358,0
359,6
360,15
361,11
362,6
363,11
364,15
365,15
366,15
367,12
368,1
369,9
370,3
371,1
372,15
373,4
374,17
375,8
376,2
377,5
378,15
379,0
380,18
381,7
382,0
383,3
384,1
385,14
386,17
387,3
388,12
389,15
390,0
391,6
392,12
393,1
394,1
395,1
396,12
397,6
398,12
399,13
400,2
401,12
402,0
403,0
404,15
405,6
406,13
407,16
408,18
409,12
410,1
411,7
412,18
413,3
414,13
415,1
416,1
417,1
418,8
419,9
420,1
421,3
422,18
423,11
424,7
425,13
426,2
427,3
428,0
429,5
430,9
431,11
432,16
433,12
434,4
435,0
436,2
437,1
438,11
439,0
440,9
441,17
442,1
443,4
444,5
445,1
446,11
447,1
448,3
449,6
450,18
451,4
452,1
453,12
454,16
455,16
456,17
457,11
458,12
459,10
460,6
461,7
462,12
463,0
464,11
465,9
466,18
467,16
468,6
469,11
470,12
471,4
472,4
473,0
474,12
475,4
476,5
477,1
478,12
479,4
480,1
481,15
482,11
483,11
484,16
485,1
486,13
487,5
488,2
489,14
490,5
491,11
492,2
493,3
494,15
495,16
496,2
497,11
498,0
499,5
500,4
501,15
502,1
503,13
504,10
505,2
506,2
507,12
508,12
509,2
510,1
511,12
512,3
513,8
514,4
515,8
516,9
517,13
518,6
519,1
520,11
521,12
522,4
523,6
524,12
525,1
526,7
527,4
528,0
529,15
530,1
531,11
532,11
533,11
534,6
535,0
536,2
537,11
538,0
539,1
540,11
541,1
542,6
543,16
544,18
545,6
546,16
547,16
548,1
549,4
550,4
551,1
552,2
553,9
554,3
555,1
556,2
557,3
558,11
559,12
560,8
561,1
562,8
563,4
564,0
565,12
566,12
567,6
568,4
569,6
570,1
571,12
572,15
573,16
574,6
575,17
576,4
577,0
578,10
579,2
580,6
581,15
582,15
583,11
584,11
585,1
586,3
587,12
588,9
589,4
590,1
591,7
592,4
593,16
594,15
595,1
596,3
597,18
598,7
599,12
600,1
601,1
602,6
603,18
604,2
605,17
606,11
607,11
608,18
609,11
610,1
611,1
612,6
613,5
614,2
615,1
616,7
617,4
618,18
619,4
620,0
621,3
622,1
623,8
624,16
625,11
626,7
627,3
628,9
629,1
630,12
631,11
632,5
633,2
634,6
635,5
636,17
637,7
638,5
639,8
640,15
641,7
642,5
643,1
644,12
645,6
646,9
647,12
648,0
649,0
650,13
651,0
652,9
653,10
654,1
655,7
656,3
657,12
658,12
659,13
660,12
661,7
662,12
663,14
664,3
665,8
666,1
667,6
668,1
669,6
670,10
671,15
672,6
673,16
674,6
675,1
676,0
677,15
678,11
679,6
680,0
681,12
682,12
683,7
684,8
685,15
686,7
687,17
688,3
689,16
690,12
691,5
692,0
693,10
694,7
695,15
696,3
697,4
698,16
699,4
700,18
701,2
702,14
703,12
704,12
705,8
706,4
707,3
708,3
709,17
710,1
711,14
712,5
713,4
714,16
715,7
716,8
717,6
718,7
719,8
720,7
721,12
722,11
723,18
724,15
725,0
726,12
727,4
728,13
729,6
730,1
731,17
732,15
733,1
734,1
735,1
736,6
737,14
738,12
739,1
740,16
741,6
742,5
743,12
744,7
745,10
746,4
747,8
748,1
749,12
750,12
751,6
752,0
753,2
754,8
755,9
756,8
757,6
758,1
759,5
760,5
761,12
762,2
763,9
764,1
765,0
766,12
767,12
768,1
769,5
770,4
771,18
772,6
773,0
774,3
775,17
776,6
777,4
778,12
779,15
780,4
781,9
782,13
783,2
784,16
785,12
786,12
787,8
788,7
789,12
790,1
791,3
792,11
793,12
794,5
795,4
796,13
797,3
798,15
799,12
800,7
801,10
802,3
803,6
804,5
805,18
806,9
807,11
808,1
809,6
810,11
811,13
812,12
813,2
814,2
815,11
816,1
817,8
818,16
819,0
820,6
821,11
822,3
823,12
824,15
825,1
826,5
827,12
828,4
829,3
830,1
831,17
832,18
833,16
834,2
835,16
836,0
837,12
838,7
839,2
840,0
841,2
842,11
843,2
844,12
845,1
846,6
847,11
848,6
849,3
850,14
851,16
852,4
853,13
854,12
855,6
856,18
857,11
858,1
859,6
860,11
861,15
862,13
863,11
864,12
865,2
866,13
867,3
868,16
869,1
870,12
871,7
872,1
873,6
874,17
875,1
876,12
877,15
878,5
879,6
880,6
881,15
882,15
883,9
884,0
885,6
886,6
887,8
888,15
889,5
890,12
891,15
892,0
893,16
894,13
895,0
896,2
897,11
898,11
899,8
900,16
901,7
902,4
903,9
904,5
905,15
906,12
907,0
908,12
909,11
910,16
911,11
912,17
913,6
914,8
915,4
916,0
917,4
918,11
919,1
920,16
921,15
922,11
923,15
924,17
925,2
926,6
927,9
928,0
929,16
930,16
931,6
932,11
933,4
934,0
935,11
936,6
937,8
938,10
939,0
940,4
941,16
942,12
943,13
944,1
945,12
946,0
947,6
948,11
949,1
950,1
951,14
952,0
953,0
954,13
955,1
956,4
957,9
958,8
959,1
960,5
961,0
962,1
963,6
964,4
965,1
966,5
967,8
968,8
969,1
970,15
971,11
972,0
973,14
974,11
975,7
976,13
977,2
978,1
979,0
980,18
981,13
982,3
983,3
984,0
985,12
986,14
987,11
988,5
989,12
990,1
991,12
992,0
993,2
994,12
995,6
996,16
997,16
998,18
999,15
1000,4
1001,4
1002,1
1003,12
1004,5
1005,9
1006,15
1007,11
1008,7
1009,9
1010,18
1011,15
1012,6
1013,8
1014,0
1015,4
1016,4
1017,6
1018,12
1019,8
1020,9
1021,15
1022,1
1023,14
1024,1
1025,9
1026,0
1027,11
1028,12
1029,4
1030,12
1031,5
1032,13
1033,5
1034,6
1035,17
1036,8
1037,14
1038,5
1039,3
1040,12
1041,1
1042,6
1043,16
1044,1
1045,6
1046,6
1047,0
1048,13
1049,17
1050,12
1051,12
1052,7
1053,10
1054,2
1055,2
1056,8
1057,15
1058,12
1059,1
1060,1
1061,16
1062,5
1063,16
1064,18
1065,12
1066,16
1067,14
1068,12
1069,5
1070,4
1071,10
1072,16
1073,16
1074,10
1075,4
1076,13
1077,1
1078,4
1079,5
1080,6
1081,12
1082,14
1083,0
1084,1
1085,11
1086,8
1087,13
1088,4
1089,1
1090,12
1091,15
1092,2
1093,13
1094,1
1095,8
1096,12
1097,10
1098,7
1099,12
1100,17
1101,13
1102,11
1103,2
1104,3
1105,9
1106,11
1107,1
1108,1
1109,7
1110,8
1111,1
1112,4
1113,11
1114,12
1115,8
1116,13
1117,2
1118,18
1119,0
1120,8
1121,1
1122,8
1123,15
1124,11
1125,17
1126,17
1127,3
1128,13
1129,15
1130,8
1131,3
1132,9
1133,6
1134,7
1135,12
1136,12
1137,4
1138,16
1139,13
1140,13
1141,11
1142,0
1143,3
1144,12
1145,6
1146,1
1147,2
1148,2
1149,12
1150,12
1151,16
1152,4
1153,3
1154,4
1155,11
1156,0
1157,1
1158,15
1159,4
1160,9
1161,0
1162,8
1163,15
1164,4
1165,11
1166,12
1167,16
1168,7
1169,2
1170,9
1171,1
1172,15
1173,0
1174,2
1175,8
1176,5
1177,13
1178,4
1179,1
1180,15
1181,3
1182,12
1183,5
1184,4
1185,0
1186,6
1187,11
1188,6
1189,18
1190,12
1191,6
1192,12
1193,14
1194,0
1195,1
1196,5
1197,6
1198,9
1199,18
1200,11
1201,12
1202,0
1203,15
1204,2
1205,1
1206,2
1207,5
1208,6
1209,15
1210,4
1211,18
1212,10
1213,1
1214,12
1215,16
1216,12
1217,15
1218,5
1219,4
1220,6
1221,1
1222,1
1223,16
1224,12
1225,3
1226,12
1227,13
1228,12
1229,18
1230,3
1231,6
1232,6
1233,1
1234,12
1235,11
1236,2
1237,11
1238,4
1239,12
1240,12
1241,11
1242,1
1243,6
1244,5
1245,5
1246,6
1247,17
1248,14
1249,18
1250,6
1251,9
1252,1
1253,4
1254,18
1255,15
1256,15
1257,1
1258,7
1259,12
1260,18
1261,14
1262,17
1263,12
1264,17
1265,3
1266,4
1267,9
1268,11
1269,3
1270,17
1271,9
1272,17
1273,16
1274,12
1275,6
1276,15
1277,1
1278,12
1279,1
1280,15
1281,11
1282,16
1283,0
1284,9
1285,1
1286,12
1287,16
1288,2
1289,18
1290,4
1291,12
1292,6
1293,16
1294,5
1295,12
1296,6
1297,0
1298,18
1299,4
1300,16
1301,17
1302,1
1303,6
1304,18
1305,0
1306,16
1307,17
1308,7
1309,15
1310,15
1311,11
1312,9
1313,1
1314,0
1315,16
1316,0
1317,12
1318,1
1319,11
1320,15
1321,14
1322,0
1323,6
1324,13
1325,11
1326,6
1327,1
1328,1
1329,7
1330,2
1331,16
1332,6
1333,6
1334,9
1335,8
1336,8
1337,2
1338,7
1339,18
1340,1
1341,1
1342,7
1343,6
1344,8
1345,9
1346,9
1347,8
1348,3
1349,11
1350,1
1351,6
1352,0
1353,5
1354,12
1355,12
1356,8
1357,5
1358,15
1359,1
1360,0
1361,14
1362,15
1363,15
1364,8
1365,12
1366,12
1367,18
1368,12
1369,12
1370,9
1371,1
1372,2
1373,0
1374,15
1375,11
1376,12
1377,0
1378,0
1379,8
1380,12
1381,11
1382,6
1383,4
1384,13
1385,11
1386,1
1387,1
1388,15
1389,11
1390,6
1391,5
1392,4
1393,6
1394,16
1395,16
1396,12
1397,4
1398,14
1399,3
1400,7
1401,1
1402,6
1403,2
1404,5
1405,10
1406,7
1407,12
1408,12
1409,3
1410,12
1411,1
1412,17
1413,5
1414,4
1415,8
1416,6
1417,12
1418,11
1419,6
1420,1
1421,16
1422,12
1423,9
1424,1
1425,12
1426,7
1427,0
1428,12
1429,0
1430,12
1431,18
1432,15
1433,16
1434,6
1435,3
1436,1
1437,3
1438,4
1439,9
1440,1
1441,15
1442,4
1443,14
1444,15
1445,4
1446,4
1447,6
1448,13
1449,12
1450,2
1451,14
1452,17
1453,15
1454,0
1455,8
1456,0
1457,0
1458,8
1459,14
1460,12
1461,4
1462,1
1463,11
1464,11
1465,12
1466,12
1467,1
1468,1
1469,7
1470,14
1471,12
1472,3
1473,6
1474,15
1475,6
1476,12
1477,16
1478,8
1479,1
1480,3
1481,4
1482,15
1483,5
1484,6
1485,5
1486,15
1487,1
1488,11
1489,0
1490,0
1491,15
1492,4
1493,11
1494,14
1495,15
1496,12
1497,7
1498,3
1499,6
1500,4
1501,8
1502,12
1503,18
1504,0
1505,12
1506,1
1507,7
1508,12
1509,1
1510,1
1511,0
1512,9
1513,5
1514,12
1515,6
1516,9
1517,8
1518,9
1519,1
1520,4
1521,8
1522,1
1523,6
1524,5
1525,12
1526,6
1527,6
1528,17
1529,1
1530,8
1531,18
1532,18
1533,11
1534,15
1535,11
1536,11
1537,14
1538,9
1539,0
1540,6
1541,6
1542,3
1543,6
1544,17
1545,15
1546,8
1547,9
1548,16
1549,4
1550,12
1551,6
1552,10
1553,0
1554,18
1555,12
1556,16
1557,15
1558,12
1559,6
1560,16
1561,15
1562,8
1563,15
1564,15
1565,6
1566,7
1567,13
1568,13
1569,0
1570,0
1571,4
1572,4
1573,18
1574,16
1575,15
1576,10
1577,16
1578,12
1579,15
1580,11
1581,16
1582,1
1583,18
1584,1
1585,6
1586,12
1587,2
1588,11
1589,10
1590,13
1591,4
1592,7
1593,6
1594,2
1595,12
1596,11
1597,18
1598,1
1599,12
1600,12
1601,2
1602,4
1603,17
1604,12
1605,7
1606,6
1607,6
1608,10
1609,2
1610,17
1611,9
1612,12
1613,6
1614,2
1615,0
1616,12
1617,16
1618,13
1619,8
1620,11
1621,18
1622,15
1623,12
1624,12
1625,11
1626,5
1627,11
1628,11
1629,5
1630,12
1631,6
1632,5
1633,2
1634,16
1635,12
1636,6
1637,11
1638,18
1639,10
1640,2
1641,8
1642,8
1643,11
1644,1
1645,13
1646,18
1647,4
1648,16
1649,18
1650,15
1651,2
1652,16
1653,2
1654,12
1655,5
1656,2
1657,11
1658,1
1659,12
1660,12
1661,17
1662,12
1663,18
1664,4
1665,1
1666,6
1667,18
1668,13
1669,4
1670,4
1671,15
1672,6
1673,3
1674,4
1675,18
1676,11
1677,11
1678,17
1679,6
1680,3
1681,11
1682,15
1683,6
1684,17
1685,6
1686,1
1687,1
1688,5
1689,0
1690,0
1691,6
1692,2
1693,1
1694,17
1695,6
1696,0
1697,6
1698,1
1699,0
1700,6
1701,7
1702,3
1703,11
1704,6
1705,12
1706,12
1707,8
1708,15
1709,2
1710,3
1711,1
1712,17
1713,0
1714,15
1715,8
1716,1
1717,6
1718,1
1719,10
1720,2
1721,4
1722,16
1723,12
1724,13
1725,8
1726,6
1727,3
1728,7
1729,17
1730,14
1731,6
1732,4
1733,18
1734,6
1735,1
1736,18
1737,4
1738,3
1739,18
1740,17
1741,1
1742,6
1743,1
1744,8
1745,1
