fragment_id,behavior_id
0,18
1,3
2,6
3,6
4,13
5,12
6,12
7,3
8,2
9,2
10,8
11,6
12,2
13,1
14,2
15,2
16,6
17,4
18,16
19,15
20,15
21,0
22,15
23,1
24,11
25,6
26,2
27,3
28,3
29,8
30,4
31,2
32,12
33,15
34,9
35,12
36,13
37,12
38,8
39,1
40,12
41,12
42,12
43,1
44,17
45,16
46,8
47,6
48,11
49,1
50,16
51,8
52,3
53,6
54,1
55,6
56,15
57,4
58,12
59,17
60,12
61,16
62,6
63,18
64,10
65,18
66,12
67,0
68,12
69,1
70,12
71,6
72,5
73,12
74,6
75,12
76,9
77,1
78,17
79,9
80,8
81,18
82,11
83,2
84,6
85,11
86,4
87,2
88,8
89,0
90,16
91,10
92,1
93,12
94,2
95,4
96,17
97,8
98,1
99,0
100,9
101,16
102,16
103,12
104,6
105,1
106,12
107,8
108,1
109,1
110,2
111,6
112,12
113,6
114,13
115,1
116,18
117,3
118,14
119,6
120,4
121,15
122,6
123,12
124,15
125,18
126,12
127,12
128,12
129,6
130,6
131,16
132,6
133,2
134,4
135,15
136,14
137,4
138,15
139,8
140,4
141,16
142,6
143,8
144,1
145,11
146,8
147,6
148,5
149,6
150,6
151,3
152,5
153,1
154,8
155,6
156,12
157,18
158,18
159,6
160,16
161,12
162,7
163,9
164,16
165,6
166,10
167,12
168,12
169,1
170,1
171,11
172,2
173,1
174,0
175,4
176,7
177,11
178,16
179,10
180,4
181,4
182,12
183,9
184,4
185,5
186,8
187,6
188,15
189,12
190,4
191,12
192,12
193,4
194,1
195,12
196,0
197,4
198,5
199,6
200,6
201,2
202,6
203,1
204,12
205,16
206,6
207,17
208,6
209,11
210,2
211,12
212,2
213,2
214,6
215,12
216,1
217,4
218,12
219,2
220,8
221,16
222,6
223,13
224,5
225,10
226,12
227,6
228,11
229,12
230,1
231,2
232,2
233,7
234,16
235,4
236,4
237,10
238,6
239,2
240,1
241,12
242,6
243,2
244,11
245,6
246,1
247,4
248,3
249,5
250,12
251,12
252,6
253,18
254,16
255,4
256,18
257,1
258,5
259,11
260,8
261,10
262,6
263,12
264,13
265,1
266,6
267,8
268,8
269,8
270,5
271,6
272,12
273,6
274,2
275,18
276,16
277,1
278,0
279,16
280,6
281,15
282,10
283,0
284,6
285,2
286,11
287,2
288,12
289,5
290,1
291,6
292,13
293,6
294,10
295,6
296,4
297,5
298,16
299,6
300,17
301,2
302,11
303,6
304,12
305,15
306,7
307,16
308,2
309,6
310,16
311,5
312,12
313,10
314,12
315,4
316,11
317,2
318,17
319,12
320,12
321,15
322,1
323,5
324,12
325,12
326,12
327,11
328,1
329,4
330,1
331,6
332,2
333,1
334,12
335,15
336,17
337,11
338,11
339,6
340,5
341,1
342,2
343,5
344,16
345,12
346,12
347,16
348,8
349,2
350,6
351,18
352,4
353,16
354,16
355,6
356,5
357,4
358,0
359,6
360,11
361,0
362,1
363,11
364,18
365,15
366,15
367,12
368,1
369,1
370,6
371,8
372,15
373,4
374,2
375,2
376,2
377,2
378,6
379,0
380,18
381,6
382,6
383,6
384,1
385,12
386,6
387,6
388,12
389,4
390,12
391,6
392,12
393,1
394,1
395,6
396,12
397,1
398,12
399,13
400,2
401,12
402,0
403,0
404,15
405,6
406,13
407,16
408,18
409,12
410,6
411,7
412,15
413,1
414,18
415,1
416,6
417,6
418,8
419,5
420,3
421,1
422,4
423,4
424,11
425,12
426,2
427,1
428,10
429,5
430,10
431,5
432,8
433,12
434,4
435,6
436,2
437,1
438,11
439,0
440,5
441,0
442,6
443,18
444,5
445,1
446,11
447,6
448,6
449,6
450,4
451,4
452,6
453,12
454,16
455,16
456,12
457,11
458,4
459,15
460,1
461,1
462,12
463,1
464,6
465,6
466,12
467,16
468,6
469,11
470,0
471,4
472,4
473,6
474,12
475,4
476,5
477,1
478,12
479,4
480,1
481,11
482,8
483,1
484,16
485,6
486,12
487,2
488,2
489,12
490,5
491,11
492,2
493,6
494,0
495,16
496,2
497,12
498,0
499,5
500,4
501,4
502,0
503,12
504,9
505,2
506,2
507,12
508,0
509,2
510,5
511,12
512,3
513,8
514,15
515,8
516,5
517,12
518,6
519,1
520,18
521,6
522,4
523,1
524,12
525,1
526,11
527,4
528,6
529,4
530,3
531,11
532,2
533,11
534,6
535,0
536,2
537,11
538,0
539,1
540,11
541,1
542,6
543,16
544,18
545,6
546,16
