fragment_id,behavior_id
0,12
1,3
2,6
3,6
4,18
5,12
6,12
7,6
8,2
9,2
10,8
11,6
12,2
13,10
14,5
15,2
16,6
17,18
18,16
19,9
20,15
21,6
22,10
23,6
24,11
25,6
26,8
27,3
28,6
29,8
30,4
31,8
32,12
33,12
34,1
35,0
36,13
37,15
38,8
39,1
40,12
41,12
42,10
43,1
44,17
45,16
46,17
47,0
48,11
49,6
50,16
51,5
52,6
53,6
54,1
55,12
56,15
57,11
58,13
59,17
60,10
61,16
62,3
63,11
64,12
65,18
66,12
67,0
68,14
69,7
70,12
71,1
72,5
73,12
74,9
75,12
76,6
77,9
78,16
79,9
80,2
81,18
82,11
83,5
84,6
85,11
86,13
87,5
88,8
89,0
90,12
91,9
92,1
93,12
94,5
95,4
96,17
97,8
98,1
99,1
100,6
101,16
102,4
103,13
104,1
105,1
106,14
107,8
108,1
109,1
110,1
111,6
112,13
113,12
114,13
115,6
116,18
117,3
118,15
119,6
120,4
121,15
122,6
123,12
124,15
125,18
126,12
127,12
128,12
129,3
130,1
131,16
132,0
133,2
134,4
135,15
136,14
137,18
138,15
139,6
140,15
141,16
142,1
143,8
144,6
145,11
146,5
147,6
148,5
149,3
150,1
151,3
152,5
153,6
154,8
155,6
156,12
157,18
158,18
159,6
160,16
161,0
162,6
163,17
164,16
165,6
166,10
167,12
168,12
169,6
170,6
171,11
172,2
173,0
174,0
175,4
176,1
177,11
178,16
179,6
180,2
181,12
182,12
183,7
184,4
185,6
186,8
187,0
188,15
189,12
190,12
191,12
192,4
193,4
194,3
195,12
196,0
197,4
198,5
199,6
200,6
201,8
202,11
203,9
204,0
205,16
206,6
207,17
208,6
209,11
210,2
211,12
212,8
213,2
214,6
215,12
216,1
217,4
218,12
219,2
220,8
221,4
222,6
223,13
224,2
225,10
226,15
227,6
228,15
229,12
230,9
231,5
232,5
233,6
234,16
235,15
236,4
237,10
238,6
239,2
240,3
241,12
242,6
243,2
244,11
245,6
246,6
247,4
248,0
249,5
250,12
251,12
252,1
253,4
254,16
255,4
256,18
257,6
258,6
259,11
260,8
261,1
262,3
263,12
264,12
265,12
266,6
267,8
268,5
269,8
270,11
271,6
272,12
273,1
274,2
275,15
276,13
277,9
278,0
279,4
280,6
281,15
282,10
283,6
284,6
285,2
286,17
287,5
288,12
289,11
290,1
291,3
292,13
293,6
294,10
295,0
296,4
297,5
298,16
299,6
300,12
301,17
302,14
303,1
304,12
305,15
306,7
307,16
308,2
309,11
310,16
311,5
312,16
313,10
314,10
315,4
316,11
317,2
318,4
319,12
320,12
321,15
322,1
323,17
324,12
325,13
326,12
327,11
328,5
329,4
330,6
331,6
332,5
333,1
334,4
335,13
336,16
337,11
338,8
339,9
340,5
341,1
342,8
343,8
344,16
345,12
346,12
347,16
348,8
349,7
350,3
351,18
352,4
353,16
354,16
355,6
356,5
357,4
358,0
359,6
360,15
361,12
362,6
363,18
364,11
365,15
366,15
367,12
368,1
369,3
370,6
371,1
372,15
373,4
374,17
375,2
376,2
377,5
378,10
379,0
380,18
381,6
382,0
383,6
384,1
385,14
386,12
387,1
388,12
389,4
390,0
391,6
392,12
393,1
394,1
395,3
396,12
397,10
398,12
399,13
400,2
401,12
402,0
403,6
404,15
405,1
406,13
407,16
408,11
409,12
410,1
411,6
412,18
413,3
414,18
415,1
416,3
417,1
418,7
419,1
420,1
421,3
422,18
423,11
424,7
425,12
426,2
427,1
428,12
429,5
430,6
431,5
432,16
433,13
434,4
435,0
436,2
437,6
438,11
439,6
440,9
441,12
442,6
443,18
444,5
445,1
446,11
447,10
448,6
449,6
450,18
451,4
452,11
453,12
454,16
455,16
456,12
457,11
458,12
459,10
460,6
461,7
462,12
463,1
464,0
465,5
466,13
467,17
468,3
469,6
470,6
471,4
472,4
473,6
474,12
475,4
476,5
477,0
478,13
479,4
480,1
481,15
482,11
483,7
484,16
485,3
486,12
487,5
488,2
489,14
490,7
491,11
492,2
493,6
494,0
495,16
496,5
497,15
498,0
499,5
500,4
501,12
502,17
503,12
504,6
505,8
506,2
507,12
508,12
509,2
510,5
511,12
512,3
513,7
514,12
515,8
516,8
517,12
518,6
519,9
520,15
521,12
522,4
523,9
524,12
525,3
526,12
527,4
528,0
529,17
530,3
531,11
532,11
533,5
534,6
535,6
536,2
537,11
538,0
539,1
540,11
541,3
542,10
543,16
544,18
545,6
546,16
547,16
548,1
549,4
550,4
551,1
552,8
553,9
554,6
555,1
556,2
557,11
558,11
559,12
560,8
561,9
562,8
563,4
564,10
565,12
566,12
567,12
568,4
569,6
570,1
571,12
572,18
573,16
574,6
575,17
576,4
577,0
578,10
579,2
580,1
581,15
582,0
583,15
584,18
585,1
586,6
587,12
588,5
589,18
590,1
591,7
592,4
593,16
594,15
595,1
596,3
597,12
598,5
599,17
600,6
601,1
602,6
603,18
604,2
605,12
606,11
607,11
608,16
609,15
610,1
611,1
612,6
613,3
614,2
615,15
616,8
617,4
618,18
619,4
620,3
621,6
622,6
623,8
624,16
625,11
626,1
627,7
628,1
629,0
630,12
631,11
632,2
633,2
634,6
635,5
636,16
637,5
638,8
639,4
640,15
641,8
642,1
643,8
644,12
645,12
646,1
647,18
648,0
649,6
650,13
651,0
652,3
653,1
654,1
655,8
656,6
657,12
658,12
659,13
660,12
661,6
662,12
663,12
664,1
665,8
666,6
667,6
668,1
669,10
670,6
671,15
672,6
673,16
674,6
675,1
676,6
677,12
678,11
679,12
680,6
681,12
682,12
683,6
684,8
685,18
686,7
687,13
688,1
689,16
690,12
691,6
692,6
693,10
694,7
695,15
696,3
697,12
698,16
699,4
700,13
701,2
702,14
703,12
704,4
705,8
706,14
707,6
708,3
709,16
710,6
711,12
712,2
713,4
714,16
715,7
716,16
717,6
718,6
719,8
720,7
721,13
722,7
723,18
724,15
725,0
726,12
727,4
728,12
729,6
730,1
731,15
732,10
733,1
734,1
735,6
736,6
737,14
738,12
739,1
740,16
741,6
742,1
743,12
744,6
745,10
746,18
747,8
748,1
749,12
750,12
751,6
752,10
753,2
754,2
755,9
756,8
757,1
758,1
759,2
760,5
761,13
762,7
763,9
764,6
765,0
766,12
767,12
768,6
769,2
770,4
771,18
772,0
773,12
774,9
775,12
776,0
777,18
778,18
779,15
780,4
781,9
782,17
783,8
784,16
785,12
786,12
787,2
788,1
789,13
790,1
791,3
792,11
793,12
794,2
795,4
796,12
797,7
798,15
799,14
800,6
801,10
802,7
803,6
804,5
805,18
806,6
807,6
808,1
809,1
810,11
811,13
812,13
813,8
814,1
815,11
816,1
817,5
818,16
819,0
820,10
821,1
822,6
823,12
824,12
825,3
826,5
827,12
828,4
829,3
830,1
831,7
832,18
833,16
834,2
835,16
836,0
837,12
838,8
839,2
840,0
841,2
842,11
843,2
844,12
845,1
846,0
847,15
848,0
849,3
850,14
851,16
852,4
853,12
854,12
855,6
856,18
857,15
858,6
859,6
860,1
861,11
862,12
863,7
864,12
865,2
866,13
867,3
868,16
869,1
870,12
871,7
872,1
873,9
874,4
875,1
876,12
877,11
878,5
879,6
880,6
881,15
882,15
883,6
884,0
885,6
886,6
887,8
888,15
889,12
890,12
891,15
892,0
893,16
894,13
895,3
896,1
897,11
898,17
899,15
900,16
901,2
902,14
903,12
904,5
905,15
906,12
907,0
908,12
909,11
910,17
911,3
912,16
913,6
914,8
915,4
916,0
917,4
918,11
919,6
920,16
921,10
922,11
923,11
924,16
925,2
926,12
927,9
928,0
929,12
930,16
931,1
932,15
933,4
934,0
935,11
936,6
937,8
938,10
939,0
940,4
941,16
942,12
943,13
944,1
945,12
946,6
947,6
948,11
949,6
950,6
951,13
952,0
953,0
954,13
955,1
956,4
957,1
958,8
959,1
960,5
961,1
962,6
963,6
964,4
965,1
966,5
967,5
968,8
969,1
970,15
971,6
972,0
973,12
974,6
975,7
976,12
977,2
978,1
979,0
980,13
981,12
982,6
983,1
984,0
985,12
986,12
987,11
988,8
989,0
990,6
991,12
992,0
993,2
994,12
995,6
996,16
997,16
998,18
999,5
1000,4
1001,4
1002,1
1003,12
1004,2
1005,9
1006,15
1007,6
1008,7
1009,9
1010,4
1011,15
1012,1
1013,8
1014,9
1015,4
1016,4
1017,9
1018,12
1019,8
1020,1
1021,15
1022,6
1023,14
1024,1
1025,9
1026,10
1027,7
1028,12
1029,4
1030,4
1031,2
1032,14
1033,8
1034,6
1035,12
1036,8
1037,12
1038,5
1039,1
1040,12
1041,1
1042,6
1043,17
1044,6
1045,5
1046,6
1047,0
1048,13
1049,12
1050,12
1051,12
1052,7
1053,15
1054,2
1055,2
1056,10
1057,15
1058,12
1059,6
1060,6
1061,16
1062,2
1063,16
1064,4
1065,12
1066,16
1067,12
1068,12
1069,16
1070,4
1071,3
1072,16
1073,16
1074,10
1075,4
1076,13
1077,1
1078,4
1079,5
1080,12
1081,18
1082,14
1083,6
1084,1
1085,6
1086,8
1087,12
1088,12
1089,1
1090,6
1091,15
1092,2
1093,16
1094,1
1095,1
1096,12
1097,10
1098,7
1099,18
1100,17
1101,12
1102,4
1103,2
1104,3
1105,3
1106,6
1107,1
1108,12
1109,7
1110,8
1111,1
1112,4
1113,15
1114,12
1115,1
1116,12
1117,2
1118,18
1119,0
1120,8
1121,1
1122,8
1123,15
1124,11
1125,14
1126,17
1127,3
1128,12
1129,14
1130,8
1131,3
1132,9
1133,6
1134,7
1135,12
1136,14
1137,4
1138,16
1139,12
1140,13
1141,15
1142,1
1143,1
1144,12
1145,6
1146,10
1147,2
1148,2
1149,12
1150,12
1151,16
1152,4
1153,1
1154,4
1155,11
1156,0
1157,9
1158,15
1159,16
1160,9
1161,12
1162,8
1163,15
1164,4
1165,7
1166,12
1167,16
1168,8
1169,2
1170,9
1171,10
1172,15
1173,0
1174,2
1175,8
1176,2
1177,12
1178,18
1179,6
1180,18
1181,3
1182,18
1183,1
1184,4
1185,0
1186,6
1187,11
1188,6
1189,18
1190,12
1191,9
1192,12
1193,14
1194,0
1195,1
1196,2
1197,5
1198,9
1199,18
1200,11
1201,12
1202,3
1203,15
1204,2
1205,5
1206,2
1207,5
1208,9
1209,15
1210,18
1211,18
1212,10
1213,1
1214,12
1215,16
1216,12
1217,15
1218,5
1219,4
1220,6
1221,6
1222,1
1223,16
1224,12
1225,3
1226,12
1227,13
1228,12
1229,12
1230,6
1231,6
1232,6
1233,6
1234,12
1235,7
1236,8
1237,15
1238,4
1239,12
1240,12
1241,6
1242,15
1243,6
1244,5
1245,5
1246,10
1247,17
1248,14
1249,18
1250,6
1251,9
1252,6
1253,4
1254,12
1255,15
1256,15
1257,1
1258,2
1259,12
1260,13
1261,12
1262,16
1263,12
1264,12
1265,3
1266,4
1267,5
1268,11
1269,6
1270,17
1271,6
1272,17
1273,16
1274,12
1275,6
1276,12
1277,1
1278,12
1279,6
1280,15
1281,11
1282,16
1283,6
1284,1
1285,1
1286,15
1287,16
1288,5
1289,18
1290,12
1291,12
1292,1
1293,16
1294,2
1295,12
1296,12
1297,12
1298,12
1299,18
1300,16
1301,12
1302,8
1303,0
1304,18
1305,0
1306,16
1307,17
1308,12
1309,18
1310,15
1311,11
1312,10
1313,0
1314,0
1315,16
1316,10
1317,12
1318,1
1319,6
1320,15
1321,12
1322,12
1323,1
1324,18
1325,11
1326,11
1327,11
1328,0
1329,8
1330,8
1331,16
1332,6
1333,6
1334,1
1335,5
1336,8
1337,2
1338,7
1339,18
1340,0
1341,1
1342,7
1343,6
1344,8
1345,9
1346,7
1347,7
1348,11
1349,11
1350,1
1351,6
1352,0
1353,5
1354,15
1355,12
1356,8
1357,2
1358,15
1359,1
1360,1
1361,18
1362,15
1363,15
1364,8
1365,12
1366,12
1367,18
1368,12
1369,12
1370,9
1371,1
1372,2
1373,0
1374,15
1375,11
1376,12
1377,0
1378,0
1379,8
1380,13
1381,15
1382,3
1383,4
1384,12
1385,6
1386,6
1387,1
1388,8
1389,11
1390,6
1391,1
1392,4
1393,6
1394,16
1395,16
1396,12
1397,4
1398,14
1399,3
1400,2
1401,0
1402,6
1403,2
1404,5
1405,15
1406,8
1407,12
1408,12
1409,3
1410,12
1411,6
1412,17
1413,2
1414,4
1415,2
1416,6
1417,12
1418,6
1419,9
1420,1
1421,16
1422,12
1423,9
1424,1
1425,12
1426,8
1427,6
1428,12
1429,10
1430,12
1431,18
1432,4
1433,16
1434,6
1435,3
1436,0
1437,6
1438,4
1439,6
1440,9
1441,15
1442,4
1443,13
1444,11
1445,4
1446,4
1447,12
1448,12
1449,12
1450,2
1451,14
1452,17
1453,15
1454,0
1455,8
1456,6
1457,6
1458,8
1459,12
1460,12
1461,4
1462,6
1463,11
1464,18
1465,12
1466,12
1467,6
1468,6
1469,6
1470,4
1471,12
1472,3
1473,9
1474,12
1475,0
1476,12
1477,16
1478,8
1479,6
1480,3
1481,4
1482,12
1483,5
1484,6
1485,5
1486,15
1487,1
1488,11
1489,0
1490,3
1491,15
1492,18
1493,11
1494,12
1495,0
1496,12
1497,5
1498,3
1499,10
1500,4
1501,8
1502,12
1503,18
1504,0
1505,12
1506,6
1507,8
1508,12
1509,6
1510,1
1511,0
1512,9
1513,17
1514,12
1515,6
1516,1
1517,8
1518,7
1519,0
1520,18
1521,8
1522,3
1523,6
1524,16
1525,12
1526,6
1527,6
1528,4
1529,10
1530,8
1531,18
1532,18
1533,6
1534,15
1535,11
1536,11
1537,12
1538,10
1539,6
1540,6
1541,6
1542,3
1543,6
1544,16
1545,16
1546,8
1547,5
1548,16
1549,4
1550,12
1551,6
1552,10
1553,0
1554,6
1555,12
1556,16
1557,8
1558,12
1559,6
1560,16
1561,15
1562,8
1563,15
1564,15
1565,6
1566,5
1567,12
1568,12
1569,6
1570,1
1571,12
1572,4
1573,18
1574,17
1575,5
1576,10
1577,16
1578,12
1579,15
1580,6
1581,17
1582,5
1583,18
1584,9
1585,6
1586,12
1587,8
1588,11
1589,6
1590,12
1591,4
1592,7
1593,1
1594,2
1595,12
1596,11
1597,13
1598,6
1599,12
1600,18
1601,2
1602,4
1603,17
1604,12
1605,5
1606,6
1607,15
1608,10
1609,2
1610,5
1611,9
1612,12
1613,1
1614,2
1615,0
1616,12
1617,16
1618,10
1619,2
1620,11
1621,18
1622,11
1623,12
1624,12
1625,3
1626,5
1627,11
1628,6
1629,7
1630,12
1631,6
1632,5
1633,8
1634,16
1635,12
1636,6
1637,8
1638,18
1639,6
1640,2
1641,8
1642,8
1643,11
1644,1
1645,13
1646,18
1647,12
1648,16
1649,18
1650,15
1651,2
1652,12
1653,8
1654,13
1655,1
1656,2
1657,11
1658,15
1659,12
1660,13
1661,16
1662,12
1663,4
1664,12
1665,1
1666,6
1667,15
1668,12
1669,4
1670,4
1671,1
1672,6
1673,3
1674,4
1675,18
1676,6
1677,6
1678,12
1679,1
1680,9
1681,11
1682,15
1683,6
1684,13
1685,6
1686,1
1687,1
1688,8
1689,6
1690,0
1691,9
1692,2
1693,6
1694,17
1695,12
1696,12
1697,12
1698,1
1699,0
1700,3
1701,8
1702,3
1703,4
1704,0
1705,12
1706,12
1707,2
1708,15
1709,2
1710,15
1711,3
1712,17
1713,1
1714,15
1715,8
1716,14
1717,6
1718,10
1719,10
1720,8
1721,4
1722,17
1723,17
1724,13
1725,8
1726,6
1727,1
1728,5
1729,12
1730,12
1731,6
1732,4
1733,18
1734,6
1735,1
1736,18
1737,12
1738,3
1739,18
1740,12
1741,3
1742,10
1743,7
1744,2
1745,1
