fragment_id,behavior_id
0,15
1,1
2,1
3,1
4,15
5,6
6,6
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,2
16,11
17,18
18,1
19,1
20,5
21,1
22,1
23,6
24,11
25,11
26,1
27,1
28,6
29,1
30,15
31,1
32,11
33,11
34,1
35,1
36,1
37,15
38,1
39,1
40,6
41,6
42,1
43,1
44,1
45,1
46,11
47,1
48,11
49,1
50,1
51,1
52,1
53,1
54,1
55,6
56,11
57,11
58,15
59,1
60,1
61,1
62,1
63,11
64,6
65,15
66,15
67,1
68,1
69,11
70,6
71,1
72,5
73,1
74,1
75,6
76,1
77,1
78,11
79,1
80,1
81,11
82,11
83,1
84,1
85,11
86,15
87,1
88,1
89,1
90,11
91,1
92,1
93,0
94,1
95,15
96,1
97,1
98,1
99,1
100,1
101,1
102,15
103,6
104,1
105,1
106,6
107,1
108,1
109,1
110,1
111,1
112,1
113,6
114,6
115,1
116,18
117,1
118,15
119,1
120,15
121,11
122,11
123,6
124,15
125,11
126,6
127,1
128,6
129,6
130,6
131,1
132,1
133,1
134,1
135,11
136,6
137,15
138,1
139,11
140,15
141,1
142,6
143,1
144,1
145,11
146,1
147,1
148,5
149,1
150,6
151,1
152,1
153,1
154,1
155,11
156,6
157,18
158,1
159,1
160,1
161,11
162,11
163,1
164,1
165,1
166,6
167,15
168,15
169,1
170,1
171,11
172,1
173,1
174,1
175,15
176,11
177,1
178,1
179,1
180,11
181,11
182,1
183,1
184,15
185,11
186,11
187,1
188,11
189,6
190,15
191,6
192,6
193,15
194,1
195,6
196,1
197,15
198,5
199,6
200,11
201,11
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,11
210,1
211,6
212,11
213,1
214,1
215,6
216,1
217,15
218,11
219,1
220,1
221,15
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,6
230,1
231,1
232,1
233,11
234,1
235,11
236,15
237,1
238,6
239,1
240,1
241,6
242,1
243,1
244,11
245,1
246,1
247,15
248,1
249,11
250,6
251,1
252,1
253,15
254,1
255,2
256,1
257,1
258,1
259,11
260,1
261,1
262,1
263,6
264,11
265,1
266,6
267,1
268,1
269,1
270,1
271,1
