fragment_id,behavior_id
0,12
1,3
2,6
3,6
4,18
5,12
6,13
7,6
8,2
9,2
10,8
11,6
12,2
13,10
14,2
15,2
16,6
17,18
18,16
19,15
20,11
21,6
22,6
23,6
24,11
25,7
26,2
27,3
28,6
29,8
30,15
31,2
32,12
33,18
34,6
35,0
36,13
37,15
38,2
39,6
40,12
41,12
42,10
43,1
44,17
45,16
46,16
47,6
48,11
49,3
50,16
51,5
52,6
53,10
54,1
55,12
56,15
57,4
58,12
59,17
60,10
61,16
62,3
63,11
64,6
65,18
66,12
67,0
68,10
69,6
70,12
71,6
72,5
73,12
74,9
75,13
76,6
77,0
78,17
79,9
80,2
81,18
82,1
83,2
84,6
85,11
86,4
87,2
88,8
89,12
90,16
91,6
92,1
93,12
94,5
95,12
96,16
97,7
98,1
99,0
100,9
101,16
102,16
103,12
104,1
105,6
106,12
107,8
108,6
109,6
110,2
111,6
112,12
113,6
114,12
115,6
116,18
117,1
118,12
119,3
120,4
121,15
122,6
123,12
124,15
125,18
126,12
127,15
128,12
129,6
130,6
131,16
132,0
133,2
134,4
135,15
136,12
137,4
138,6
139,15
140,4
141,16
142,6
143,8
144,6
145,11
146,15
147,6
148,15
149,3
150,1
151,6
152,2
153,1
154,8
155,6
156,12
157,18
158,18
159,6
160,16
161,12
162,7
163,10
164,16
165,6
166,6
167,12
168,14
169,3
170,6
171,11
172,2
173,6
174,0
175,4
176,5
177,18
178,16
179,10
180,15
181,4
182,12
183,7
184,4
185,1
186,8
187,0
188,15
189,12
190,12
191,13
192,12
193,15
194,1
195,12
196,0
197,4
198,5
199,6
200,6
201,8
202,3
203,6
204,6
205,15
206,10
207,16
208,1
209,11
210,2
211,12
212,8
213,2
214,6
215,12
216,1
217,4
218,17
219,8
220,2
221,4
222,1
223,18
224,2
225,6
226,10
227,6
228,12
229,12
230,9
231,2
232,2
233,7
234,16
235,15
236,4
237,6
238,6
239,2
240,6
241,4
242,6
243,2
244,11
245,6
246,6
247,4
248,6
249,1
250,12
251,12
252,1
253,12
254,8
255,4
256,18
257,6
258,6
259,11
260,8
261,10
262,6
263,13
264,12
265,0
266,6
267,8
268,7
269,8
270,1
271,6
272,12
273,6
274,2
275,18
276,5
277,1
278,0
279,4
280,1
281,15
282,10
283,0
284,10
285,2
286,16
287,2
288,12
289,1
290,1
291,1
292,12
293,6
294,10
295,0
296,15
297,5
298,16
299,6
300,17
301,2
302,18
303,1
304,15
305,15
306,7
307,16
308,2
309,6
310,13
311,15
312,15
313,10
314,15
315,4
316,11
317,2
318,4
319,14
320,12
321,15
322,1
323,2
324,12
325,12
326,12
327,11
328,1
329,4
330,6
331,6
332,2
333,1
334,13
335,13
336,16
337,11
338,1
339,6
340,5
341,1
342,2
343,5
344,16
345,12
346,12
347,16
348,8
349,7
350,6
351,18
352,4
353,16
354,16
355,6
356,5
357,18
358,11
359,9
360,15
361,0
362,6
363,6
364,11
365,15
366,15
367,12
368,6
369,3
370,6
371,1
372,15
373,4
374,17
375,2
376,2
377,2
378,0
379,0
380,18
381,6
382,6
383,6
384,1
385,14
386,12
387,1
388,12
389,18
390,0
391,10
392,12
393,1
394,1
395,6
396,12
397,10
398,12
399,13
400,2
401,12
402,0
403,6
404,15
405,3
406,14
407,16
408,15
409,12
410,1
411,7
412,11
413,0
414,18
415,1
416,3
417,3
418,7
419,1
420,1
421,6
422,4
423,11
424,5
425,12
426,2
427,6
428,12
429,5
430,6
431,15
432,16
433,12
434,4
435,6
436,2
437,6
438,15
439,6
440,6
441,12
442,6
443,18
444,2
445,1
446,11
447,10
448,6
449,6
450,18
451,4
452,3
453,18
454,16
455,16
456,12
457,11
458,12
459,10
460,6
461,6
462,12
463,0
464,6
465,6
466,13
467,16
468,6
469,6
470,12
471,4
472,4
473,6
474,12
475,4
476,2
477,6
478,12
479,4
480,1
481,11
482,8
483,3
484,16
485,6
486,12
487,2
488,2
489,12
490,5
491,11
492,2
493,6
494,1
495,16
496,2
497,11
498,0
499,5
500,4
501,12
502,0
503,12
504,6
505,2
506,2
507,12
508,12
509,2
510,1
511,12
512,3
513,8
514,15
515,8
516,1
517,17
518,6
519,6
520,15
521,12
522,15
523,6
524,12
525,3
526,12
527,18
528,0
529,15
530,3
531,1
532,1
533,1
534,12
535,0
536,2
537,11
538,0
539,1
540,11
541,6
542,6
543,16
544,18
545,6
546,16
547,16
548,1
549,4
550,4
551,6
552,2
553,6
554,6
555,0
556,2
557,1
558,11
559,12
560,8
561,6
562,8
563,4
564,1
565,12
566,12
567,6
568,4
569,6
570,1
571,12
572,15
573,16
574,6
575,16
576,4
577,6
578,15
579,2
580,6
581,15
582,0
583,11
584,18
585,1
586,6
587,12
588,6
589,11
590,1
591,7
592,4
593,8
594,4
595,1
596,6
597,11
598,7
599,6
600,6
601,1
602,6
603,18
604,2
605,17
606,6
607,11
608,16
609,11
610,1
611,6
612,6
613,1
614,2
615,10
616,8
617,16
618,18
619,4
620,0
621,6
622,6
623,8
624,16
625,11
626,6
627,5
628,1
629,6
630,12
631,11
632,2
633,2
634,6
635,1
636,16
637,2
638,8
639,2
640,11
641,8
642,1
643,1
644,12
645,6
646,9
647,4
648,0
649,6
650,13
651,0
652,6
653,15
654,1
655,8
656,6
657,12
658,12
659,13
660,12
661,6
662,12
663,14
664,6
665,7
666,6
667,6
668,6
669,6
670,6
671,15
672,6
673,8
674,6
675,1
676,0
677,12
678,11
679,6
680,0
681,12
682,12
683,6
684,2
685,15
686,6
687,12
688,9
689,16
690,12
691,6
692,0
693,10
694,2
695,11
696,18
697,4
698,16
699,4
700,12
701,2
702,14
703,13
704,12
705,8
706,12
707,6
708,6
709,16
710,1
711,12
712,2
713,4
714,16
715,7
716,8
717,6
718,7
719,8
720,7
721,15
722,7
723,18
724,15
725,0
726,12
727,4
728,12
729,9
730,1
731,12
732,12
733,1
734,1
735,1
736,9
737,14
738,18
739,1
740,16
741,6
742,2
743,12
744,6
745,10
746,18
747,8
748,1
749,12
750,12
751,9
752,0
753,2
754,8
755,6
756,8
757,1
758,1
759,8
760,8
761,12
762,11
763,6
764,6
765,12
766,12
767,12
768,6
769,2
770,4
771,18
772,6
773,0
774,9
775,12
776,0
777,18
778,18
779,10
780,4
781,9
782,16
783,8
784,16
785,12
786,12
787,16
788,9
789,13
790,6
791,6
792,11
793,10
794,2
795,4
796,12
797,6
798,15
799,14
800,7
801,6
802,7
803,6
804,2
805,18
806,9
807,0
808,1
809,6
810,11
811,16
812,12
813,2
814,2
815,11
816,10
817,2
818,16
819,6
820,15
821,6
822,6
823,4
824,15
825,10
826,2
827,12
828,4
829,6
830,10
831,5
832,18
833,16
834,2
835,16
836,0
837,12
838,7
839,8
840,0
841,2
842,11
843,2
844,12
845,1
846,12
847,11
848,0
849,6
850,14
851,16
852,4
853,13
854,15
855,6
856,18
857,11
858,3
859,9
860,12
861,15
862,12
863,1
864,12
865,2
866,18
867,3
868,16
869,10
870,12
871,6
872,1
873,6
874,13
875,9
876,12
877,11
878,15
879,12
880,6
881,15
882,11
883,1
884,0
885,6
886,6
887,8
888,11
889,15
890,12
891,11
892,0
893,16
894,13
895,6
896,2
897,11
898,1
899,1
900,16
901,8
902,4
903,11
904,5
905,15
906,4
907,0
908,12
909,11
910,16
911,6
912,16
913,6
914,8
915,4
916,6
917,4
918,11
919,6
920,16
921,10
922,11
923,15
924,16
925,2
926,6
927,9
928,0
929,12
930,16
931,1
932,11
933,4
934,0
935,11
936,6
937,8
938,6
939,0
940,4
941,16
942,12
943,12
944,1
945,12
946,1
947,6
948,11
949,6
950,1
951,12
952,12
953,0
954,13
955,6
956,4
957,1
958,16
959,1
960,5
961,6
962,6
963,0
964,4
965,6
966,5
967,8
968,8
969,1
970,15
971,11
972,0
973,12
974,18
975,7
976,13
977,2
978,6
979,12
980,16
981,12
982,3
983,1
984,0
985,12
986,13
987,6
988,5
989,12
990,6
991,12
992,6
993,2
994,12
995,6
996,17
997,16
998,18
999,15
1000,4
1001,4
1002,3
1003,12
1004,2
1005,9
1006,15
1007,6
1008,7
1009,9
1010,18
1011,15
1012,1
1013,8
1014,6
1015,4
1016,4
1017,6
1018,13
1019,8
1020,1
1021,15
1022,1
1023,12
1024,6
1025,6
1026,1
1027,3
1028,12
1029,4
1030,12
1031,2
1032,12
1033,8
1034,6
1035,13
1036,8
1037,12
1038,1
1039,9
1040,12
1041,1
1042,6
1043,16
1044,6
1045,6
1046,6
1047,10
1048,4
1049,12
1050,12
1051,12
1052,7
1053,10
1054,2
1055,2
1056,15
1057,10
1058,12
1059,6
1060,6
1061,16
1062,2
1063,16
1064,4
1065,12
1066,13
1067,14
1068,18
1069,2
1070,4
1071,6
1072,16
1073,16
1074,6
1075,4
1076,15
1077,1
1078,4
1079,8
1080,7
1081,12
1082,12
1083,6
1084,1
1085,6
1086,8
1087,12
1088,4
1089,6
1090,6
1091,15
1092,2
1093,13
1094,6
1095,6
1096,12
1097,10
1098,2
1099,14
1100,17
1101,12
1102,11
1103,2
1104,6
1105,6
1106,6
1107,1
1108,12
1109,7
1110,8
1111,0
1112,4
1113,11
1114,12
1115,11
1116,12
1117,2
1118,18
1119,0
1120,8
1121,1
1122,8
1123,15
1124,11
1125,12
1126,12
1127,3
1128,13
1129,12
1130,8
1131,3
1132,6
1133,6
1134,2
1135,12
1136,12
1137,4
1138,16
1139,12
1140,13
1141,11
1142,6
1143,9
1144,12
1145,6
1146,1
1147,2
1148,2
1149,12
1150,12
1151,16
1152,12
1153,1
1154,4
1155,11
1156,12
1157,9
1158,18
1159,16
1160,9
1161,6
1162,8
1163,15
1164,4
1165,6
1166,12
1167,16
1168,7
1169,2
1170,9
1171,10
1172,10
1173,6
1174,2
1175,8
1176,5
1177,13
1178,4
1179,6
1180,4
1181,1
1182,18
1183,1
1184,4
1185,0
1186,0
1187,11
1188,6
1189,18
1190,12
1191,10
1192,12
1193,14
1194,3
1195,6
1196,2
1197,6
1198,6
1199,18
1200,11
1201,12
1202,12
1203,11
1204,2
1205,6
1206,2
1207,2
1208,6
1209,11
1210,4
1211,18
1212,10
1213,1
1214,12
1215,16
1216,12
1217,15
1218,6
1219,12
1220,6
1221,6
1222,1
1223,16
1224,12
1225,3
1226,12
1227,12
1228,12
1229,18
1230,6
1231,6
1232,6
1233,6
1234,12
1235,6
1236,8
1237,11
1238,4
1239,12
1240,4
1241,3
1242,0
1243,6
1244,2
1245,5
1246,9
1247,10
1248,14
1249,18
1250,6
1251,9
1252,9
1253,11
1254,18
1255,11
1256,11
1257,1
1258,7
1259,12
1260,12
1261,12
1262,16
1263,12
1264,12
1265,3
1266,4
1267,1
1268,11
1269,9
1270,16
1271,9
1272,17
1273,16
1274,12
1275,6
1276,12
1277,1
1278,12
1279,6
1280,11
1281,11
1282,16
1283,0
1284,6
1285,1
1286,1
1287,16
1288,8
1289,11
1290,4
1291,12
1292,6
1293,16
1294,5
1295,12
1296,6
1297,0
1298,4
1299,4
1300,16
1301,12
1302,11
1303,0
1304,18
1305,6
1306,16
1307,12
1308,7
1309,18
1310,15
1311,6
1312,10
1313,0
1314,6
1315,16
1316,6
1317,12
1318,1
1319,6
1320,15
1321,12
1322,6
1323,6
1324,18
1325,11
1326,6
1327,3
1328,6
1329,8
1330,8
1331,16
1332,6
1333,6
1334,1
1335,2
1336,7
1337,2
1338,6
1339,18
1340,6
1341,1
1342,7
1343,6
1344,8
1345,6
1346,6
1347,7
1348,1
1349,11
1350,1
1351,6
1352,0
1353,5
1354,6
1355,4
1356,8
1357,8
1358,11
1359,1
1360,0
1361,14
1362,11
1363,15
1364,7
1365,12
1366,12
1367,18
1368,12
1369,13
1370,6
1371,1
1372,2
1373,0
1374,15
1375,11
1376,12
1377,6
1378,0
1379,8
1380,4
1381,15
1382,6
1383,4
1384,12
1385,6
1386,6
1387,1
1388,15
1389,11
1390,6
1391,12
1392,4
1393,10
1394,16
1395,16
1396,12
1397,4
1398,12
1399,6
1400,2
1401,10
1402,6
1403,2
1404,5
1405,10
1406,8
1407,13
1408,12
1409,6
1410,12
1411,6
1412,17
1413,2
1414,4
1415,2
1416,6
1417,12
1418,6
1419,15
1420,1
1421,16
1422,12
1423,1
1424,1
1425,12
1426,7
1427,0
1428,14
1429,6
1430,12
1431,18
1432,4
1433,16
1434,6
1435,3
1436,1
1437,1
1438,4
1439,6
1440,6
1441,15
1442,4
1443,14
1444,11
1445,18
1446,4
1447,6
1448,13
1449,6
1450,2
1451,14
1452,1
1453,15
1454,0
1455,8
1456,0
1457,0
1458,8
1459,14
1460,12
1461,4
1462,6
1463,11
1464,6
1465,12
1466,12
1467,15
1468,1
1469,6
1470,12
1471,12
1472,6
1473,6
1474,18
1475,6
1476,12
1477,16
1478,8
1479,6
1480,3
1481,4
1482,15
1483,1
1484,6
1485,1
1486,15
1487,1
1488,11
1489,6
1490,0
1491,11
1492,4
1493,3
1494,12
1495,12
1496,17
1497,12
1498,3
1499,12
1500,4
1501,8
1502,12
1503,18
1504,0
1505,12
1506,11
1507,7
1508,12
1509,1
1510,1
1511,0
1512,9
1513,1
1514,12
1515,6
1516,1
1517,8
1518,7
1519,1
1520,12
1521,8
1522,1
1523,6
1524,8
1525,13
1526,6
1527,10
1528,16
1529,10
1530,8
1531,18
1532,18
1533,6
1534,15
1535,11
1536,11
1537,6
1538,9
1539,0
1540,6
1541,6
1542,3
1543,6
1544,17
1545,4
1546,8
1547,1
1548,16
1549,4
1550,12
1551,6
1552,10
1553,0
1554,11
1555,12
1556,16
1557,15
1558,14
1559,6
1560,16
1561,15
1562,8
1563,6
1564,15
1565,6
1566,6
1567,12
1568,12
1569,6
1570,6
1571,11
1572,4
1573,18
1574,16
1575,15
1576,10
1577,16
1578,12
1579,12
1580,11
1581,16
1582,6
1583,18
1584,9
1585,6
1586,12
1587,2
1588,11
1589,6
1590,12
1591,15
1592,7
1593,9
1594,2
1595,12
1596,11
1597,13
1598,6
1599,12
1600,12
1601,8
1602,4
1603,17
1604,0
1605,7
1606,1
1607,6
1608,15
1609,2
1610,17
1611,5
1612,12
1613,0
1614,2
1615,0
1616,12
1617,16
1618,12
1619,7
1620,11
1621,18
1622,4
1623,12
1624,12
1625,6
1626,5
1627,11
1628,6
1629,7
1630,12
1631,6
1632,5
1633,2
1634,16
1635,12
1636,6
1637,5
1638,18
1639,10
1640,2
1641,8
1642,8
1643,11
1644,1
1645,18
1646,18
1647,4
1648,16
1649,18
1650,15
1651,2
1652,12
1653,16
1654,13
1655,1
1656,2
1657,11
1658,6
1659,12
1660,12
1661,17
1662,12
1663,4
1664,15
1665,1
1666,6
1667,11
1668,12
1669,4
1670,4
1671,6
1672,6
1673,3
1674,4
1675,18
1676,6
1677,11
1678,12
1679,6
1680,9
1681,11
1682,15
1683,6
1684,12
1685,6
1686,1
1687,1
1688,5
1689,3
1690,0
1691,6
1692,2
1693,7
1694,17
1695,15
1696,12
1697,6
1698,1
1699,12
1700,3
1701,7
1702,3
1703,4
1704,0
1705,12
1706,12
1707,8
1708,6
1709,2
1710,1
1711,3
1712,17
1713,0
1714,15
1715,8
1716,1
1717,6
1718,9
1719,6
1720,2
1721,4
1722,16
1723,12
1724,13
1725,7
1726,6
1727,1
1728,7
1729,12
1730,14
1731,6
1732,4
1733,18
1734,0
1735,1
1736,18
1737,4
1738,3
1739,18
1740,12
1741,3
1742,6
1743,15
1744,16
1745,1
